arm,pump,period,start_hour,relative_speed,controls
bite,1,2,4,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,3,6,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,4,8,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,5,10,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,6,12,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,7,14,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,8,16,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,9,18,0.80000000000000004,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,10,20,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,1,11,22,0.90000000000000002,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,0,0,0.00000000000000000,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,1,2,0.00000000000000000,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,2,4,0.00000000000000000,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,3,6,0.80000000000000004,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,4,8,0.80000000000000004,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,5,10,0.80000000000000004,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,6,12,0.80000000000000004,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,7,14,0.80000000000000004,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,8,16,0.80000000000000004,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,9,18,0.80000000000000004,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,10,20,0.00000000000000000,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
bite,2,11,22,0.00000000000000000,"0.61134805149337668;0.62359981732449898;0.56307932283063955;0.54869218690724153;0.54767496385842662;0.53239510448154537;0.70118503657657316;0.64871173149618888;0.67258446245389480;0.37292939555382448;0.57375318984282497;0.70022576820749627;0.14319709143263587;0.00847241954338364;0.07568502109457327;0.41384576165595566;0.47239334850039483;0.44797939367661477;0.34143007612246296;0.45962685534154690;0.40234306192137970;0.48421496456179491;0.03869169636561055;0.00000000000000000;0.27952017544665253;0.66344140868108714;0.52623015871537449;0.08969906029838795"
